objectid,filename,youtubeid,title,creator,date,description,subject,exhibition,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,iglink
coll103,https://lh3.googleusercontent.com/d/1jIGxGaHFw-gKwDZEOsm8jkVfR306a2h6,,(PAM13) READY TO COOK,,2021-07-31,"Among the preparations in Pampanga cooking recorded in the 1700s is MANADTAD, to mince or cut into small pieces. TIDTAD was the dish made with minced meat. Until a meat grinder was invented, mincing was the technique around the world to make the tiniest pieces of meat. There likely was the use of eggs beaten till foamy because MANYBUL from the root word SABUL means to raise a foam, such as when beating eggs. What used beaten egg? Another example from Bergaño is the foam in water made by rowing. Proof that spit roasting was done are the words MANLAID and LAIRAN that mean to baste meat on a spit. A feather or a brush was used to baste, to apply lard. LEIRAN was that being basted. Lechon means the spit-roasted fiesta pig, but it is also used nowadays to mean anything cooked on a spit, such as chicken. DALDAC is to pound or crush something into pieces, such as in a mortar or vat. The term could apply to garlic used in cooking. GATA is coconut milk. MANGGATTA is to extract the milk by squeezing wet coconut gratings. The serrated scraper is used all over the former Austronesian migration and trade region and is an efficient improvement on simply scraping off coconut meat with a blade. When the “kabayo” version of the serrated scraper attached to a seat evolved still needs dating. APIÂ is to draw out juice by pressing or squeezing. It can apply to citrus and other fruits. An intriguing term, as translated by Samson, is TANGCAP, meaning embellished, dressed, seasoned, “neatly” cleaned or finished... thus making things MANANGCAP, ready for cooking. The word “neatly”expresses a quality aspired for that one hopes will never leave Pampangan cuisine.",Preparation; Mince,Pampaga 1732,,,Squeezing out coconut milk. dreamstime.com,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CR-ktFDnXAh/?hl=en
coll104,https://lh3.googleusercontent.com/d/1EYzev-_iZRLJai07ONdJGy4Z3UvC7Ga6,,(PAM14) PRESERVING,,2021-08-04,"Pampangans in the 1700s extended the edibility of foods by using salt, ASIN. MIASIN was to put salt, according to Bergaño. CALAT was saltiness and ALAT, salty. BAGUC meant to both brine and pickle. (Today, BAGÚK is the synonym of bagoong, brined shrimp or fish. Bagoong is used in Tagalog; balaw and hingmay in Bikol; ginamos in Hiligaynon, Cebuano, Samar-Leyte; bagóng in Ibanag; bug-goong in Ilocano; inasín in Pangasinan.) PIBABAGUCAN was the container for brining. BURO was an adjective for something like fish or santol that had been put in salt that would become a brining liquid or solution. (One finds BURO having the same meaning in Hiligaynon, Ilocano, Pangasinan, Cebuano, and Tagalog.) One could salt beef and string it up to dry, a process call MALAING from the root word BALAING. Preserved beef was called BELAINGAN. There was salted fish called TAGUILAO that did not last long, however, because it used less salt than a BURU. (In Tagalog of 1613, TAGHILAO referred to fish, meat, beef that was salted.) While BUSBUS was to open a fish, DAING meant to open up a fish so as to salt it. Bergaño defined TAPA as meat or fish cut open or sliced on the diagonal, stretched wide,and marinated in salt and vinegar before roasting or frying; MANAPA was to prepare meat or fish the TAPA way. According to the Philippine National Museum, the first fish to be salted was dolphin before 1,000 BCE during prehistoric times.",Preparation; Brine; Salt,Pampaga 1732,,,Philippine sea salt grains. FSM,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CSJoXz_hlIv/?hl=en
coll105,https://lh3.googleusercontent.com/d/1wdiEGMp_k0q_Jw8SWu64w6-V6Q0TEG2P,,(PAM15) PRESERVES,,2021-08-08,"In addition to brining or salting, Bergaño offers evidence that in Pampanga of the 1700s food was also preserved using vinegar. DALOC meant to mix in vinegar to make pickles as was done for peppers. We wonder what kind of pepper. Perhaps something like bell pepper? There is no written evidence, however. “Pimiento” (black peppercorn) was identified as LARA by Bergaño. But LARA he defined as both pepper[corn] and chili. Bergaño does not identify what was made into ASLAM, vinegar. MANASLAM was to make vinegar. He does note that there was TUBA made of LIAB, the word for buri palm sap. LIABAN meant both the buri plant and the place where it grew. Buri sap was made into sugar cakes called CHANCACA but nothing is said about its use as vinegar. (Pampanga food heritage advocates can well take note of using buri as sweetener today.)",Preparation; Salt; Brine; Diego Bergaño,Pampaga 1732,,,Three Vinegar Tasters. 16th century Japanese painting of the Kano school. Tokyo National Museum. Public Domain.,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CSSzbnhBPia/?hl=en
coll106,https://lh3.googleusercontent.com/d/1cTBiQCOBu6oNm6Ljgd53A6KNgItlKeL0,,(PAM16) PRESERVATION CONTINUED,,2021-08-08,"The synonym for grape wine was ALAC. He adds that coconut wine was distilled. It is likely that coconut and nipa were used to make vinegar. But other sources would be needed to verify the conjecture. Perplexing is that the Pampanga words for ADOBO (“marinade” in this context) are buro (brining) and taguilao (salting). No mention of vinegar used as a pickling solution (adobo) is made. Could preserving with salt have been more common than preserving with vinegar? This set of words is intended to exemplify how dictionary entries can be useful in dating culinary ingredients, processes, and products. They often lead to new questions with answers in period reports and registers. ",Preparation; Brine; Salt,Pampaga 1732,,,Three Vinegar Tasters. 16th century Japanese painting of the Kano school. Tokyo National Museum. Public Domain.,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CSSzmMJhAZw/?hl=en
coll107,https://lh3.googleusercontent.com/d/1l4WCerXmV51Rg5TWpJnPtz5G3yuyg3PJ,,(PAM17) TO COOK,,2021-08-11,"In Pampanga, MANLUTU and MAGLUTU meaning “to cook” (cocinar) or “to prepare food”was in use during the 1700s. PILUTUAN could be used to mean the place or the pot where cooking occurred. If one said MAMULU or IBULU it was understood as specifically cooking rice or meat in a bamboo culm, a section between nodes. ITUN or TUMUN was specific to cooking rice. TINUN and MITUN meant the one who cooked the rice. ABIAS was the raw rice for cooking; NASI was cooked abias ready for eating. The clay pot called CURAN was only for cooking rice. It was taller and had a narrower mouth than the BALANGA, a clay pot in which to cook meat, fish and other viands. CULUBAN was the pot cover. While in Manila, Spanish freir (to fry) had entered Tagalog in 1613 as pritos, it was not noted by Bergaño. TITI meant to dissolve fat to make it lard and to fry something in it. MATITI was used idiomatically for one who is consumed or wasted (perhaps from sickness, strife, or gambling). If one heard MANQUID, one knew someone was removing a pot or frying pan from fire. Pampangan had a well developed culinary vocabulary with words having very specific meanings.",Cooking; Rice; Bamboo; Diego Bergaño,Pampaga 1732,,,Glutinous rice cooked in bamboo. Dreamstime.com,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CSazb_xB_2H/?hl=en
coll108,https://lh3.googleusercontent.com/d/1f3Usi-m7zwSeSl-NoKPfTYVN2wI3a3lZ,,(PAM18) THE TABLE,,2021-08-14,"In 1521 Antonio Pigafetta while sailing on the first circumnavigation wrote that in Cebu and the Moluccas, DULAN was a wooden platter. It had even been an offertory plate in some places. Today, in Malay the dulan is a tray on which beverages and titbits are served. In Tagalog of the early 1600s DOLAN meant “table”. Francisco de San Antonio, OFM defines DOLANG in 1624 as a table or a large plate where one eats. It could be used poetically, too, as in “Naging dolang ang mata co” [My eyes became a dolang], implying delight in what one was seeing. In Bergaño’s Pampangan dictionary, DULANG is a low table, about a foot high, for dining. MAGDULANG or MIDULANG was to eat meals on it. Like San Antonio for Tagalog, Bergaño annotates uses of the word. He says that no matter what one does a cat will seek shelter under a dulang; it is wrong to let a dog climb on top of it to lick grease or eat leftovers. The dulang continued as the rural dining table around which folk sat on their haunches or tailor style. Urbanized areas began preferring European chair-high tables.",Antonio Pigafetta; Francisco de San Antonio; Diego Bergaño; Dining Table,Pampaga 1732,,,"Cebu, late 1880s through 1890s. Luis Ma. Araneta Collection in “The Governor-General’s Kitchen” by FSM (Anvil Publishing, 2006, 2011)",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CSiZo1aB9mC/?hl=en
coll109,https://lh3.googleusercontent.com/d/1-1EuuC_jpTThJm6n4mZ_cFGrEVbQu0lv,,(PAM19) PING-GAN,,2021-08-18,"Atop a dulang table would be plates that in 18th century Pampanga were called PING-GAN. The word and its meaning were listed by Antonio Pigafetta of the first circumnavigation crew in 1521. He found it used by Malay speakers of the Spice Islands. Pampangan conjugated the noun into multiple meanings: MAMING-GAN, to place something on the plate; PIPING-GANAN, the plates used for serving and not those in reserve; MACAPING-GAN, to be on the plate. Bergaño added that MIPING-GAN meant “with company,” as in two persons eating from the same plate. He added “but not [eating] rice” that way. The terms give insight into meal customs. SUIC was the small porcelain plate used for salt and, perhaps by Spanish, for mustard. There was a large plate, the TAPAC, but no description of it survives. There were also bowls such as SUL-LIAO, possibly big, and LAMPAY that was bigger. MANGCOC was a cup to drink water from. One wonders about its size said to be bigger than a sul-liao, as well as its material. Half a small coconut, the BUO and half a larger coconut, the DUBASA were drinking cups. The latter could have multiple functions. CALAMBA and TABOAN were pitchers. The calamba had a “large narrow mouth”. In other languages it meant a pot. From the definition of SAQUID one learns that water was drawn out using a ladle, big spoon, or cupped hands. There was the GABOC, a porcelain jar with a cover but it likely was not for use at table. A vessel with water so ants could not climb into it was termed LAMPACAN. Even today items become unreachable by ants if they or their containers sit in a “moat”. One gleams details that when put together are a harvest re-creating life in early to mid 18th century Pampanga. ",Diego Bergaño; Plate; Bowl; Porcelain,Pampaga 1732,,,"Ming Dynasty plate, 16th-17th century. Museo Nacional de Artes Decorativas. Madrid, Spain. Alamy.com",,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CSszpxABVgt/?hl=en
coll110,https://lh3.googleusercontent.com/d/1vaOq-j_8jvdXGzpqZefy2DMux3wnCqLj,,(PAM20) FRECKLES,,2021-08-21,"Food heritage supporters can sustain Pampanga’s traditional culinary vocabulary. It, as with other Philippine languages, proves the keen sensitivities of foragers and farmers alike. GAGUIAU describes raw-like for fresh fish, meat, egg, vegetables, fruits. CULDA is a green color “like a fruit in its early stage”. Worth visual and fashion artists noting the hue. Ripeness is expressed in MALULUT (ripening), MALALAY (being ripe; maturity reached), MALUMON (to become ripe, like a bunch of bananas), CALUMUNAN (peak of ripeness). MALUGÔ is fruit that falls off its tree by itself. DUNOT is an adjective for rotten, putrified such as a bruised fruit, destroyed or over ripe. Fruit spot is called ABSIC, black spots or patches on a fruit or tuber; also hardness of a fruit despite its ripeness. By keeping the words in use, each new generation sustains keen awareness passed on. It is valuable cultural knowledge.",Banana; Fruit,Pampaga 1732,,,FSM Photo,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CS0mcoyhf4D/?hl=en
coll111,https://lh3.googleusercontent.com/d/1_7kF44sq83v8d2VSMEOunWxyotEi1r_C,,(PAM22) SMELL,,2021-08-25,"Food not properly brined or salted for preservation had a bad smell described as LANTONG. When conjugated as MALANTONG it meant a person who was a flatterer. Clearly a priest wrote the definitions because Bergaño noted that a MALANTONG had many flattering excuses but “brought no alms”. Scorched rice had a peculiar smell: MALANGNIS. EPASANGÓ was an intolerable smell, and “much more if it is the odour of hell,” added Bergaño. Being able to smell unsafe ingredients, food, and surroundings kept a person healthy. Words to describe the lack or surfeit of salt have yet to be found and yet many ancestral cooks claimed to have corrected flavouring by smell and not taste. Or could they have been smelling the viand as a whole sonata, and if something were out of tune, deducing that it was salt that was the missing note? How many cooks today smell rancidness or salt missing in their cooking pot?",Diego Bergaño; Smell,Pampaga 1732,,,Bad smell. Detail from a photo of dreamstime.com.,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CS_XT9DhqTO/?hl=en
coll112,https://lh3.googleusercontent.com/d/11fUKNdc8LEUkiCguHyND_wz9-vZakPYZ,,(PAM23) EATING,,2021-08-28,"Pampanga’s PIULAM means a food like “banana and mango that accompany a meal’s staple”(rice). The word proves eating a fruit on the side was done. ULAM is a viand and MANULAM is one who eats many viands with rice. ALAYAN described a plate atop which were different foods, a practice done when serving “lords and elderly”. MANALAYAN was to put different foods on a plate. DULUT according to Bergaño was food at table given to children and relations; food put on a plate without approval of the recipient by a servant, a slave, or a “younger boarder” in charge of serving. On Holy Thursday, CABA, food on a plate or in a basket was taken to feed the poor. On regular days CABA could be donated to a convent. TAGAN meant leftovers from a meal (also remnants when cutting fabric for clothing). ABAO also meant leftover food such as from a banquet or a dinner and that was being kept to serve at the next meal. MICABOCABAN not only meant keeping leftovers for tomorrow, or tomorrow’s leftovers for some other day, but leaving today’s work for some other time. The word selection hints at how life proceeded in the 1700s.",Diego Bergaño; Leftovers; Eating,Pampaga 1732,,,"Mango painted by Jose Lozano in 1850. From JOSE HONORATO LOZANO: Filipinas 1847 by Jose Maria A. Cariño (Ars Mundi, Philippinae, 2002)",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CTHLTvaHqCF/?hl=en
coll113,https://lh3.googleusercontent.com/d/1HHlRLcCut_eS_AZqSNPeyAh6gFMz_Ove,,(PAM24) THE INVITED,,2021-09-01,"If one is ANGAP, eager to eat and drink, the best that could happen is to become AGCAT or CANGAY, meaning one invited to a fiesta or banquet. AGCAT also referred to one who tagged along with or who was invited by the invitee. The guest was also called the CANGAYAN and the QUENGAYAN. Kindly note that the G is pronounced softly. At all occasions PACUNDANGAN was expected: politeness. Bergaño cites MAMATAS, to regulate such as is done with food so everyone gets an equal share when there is a crowd around food. PETASAN is the share given in identical amounts. Children then are like children now. They were notorious for MANYAYIT, to keep picking up tidbits of food not just to taste but to eat the dainties being served till nothing was left. SUMULU and MANYULU mean to enter and join those at table who are already eating. It also is used for a dog that arrives. The guest to be wary of is one who is TAMASA, ease-loving, spoiled, and stopping at nothing to get a free meal. MAGTAMASA is one glutting at a baptism or wedding. The 24 posts are a glimpse into culinary culture of Pampanga through just some of the hundreds of words collected by Fr. Diego Bergaño published in 1732. On Saturday we will compare his work with Tagalog of 1754.",Diego Bergaño; Fiesta; Customs; Manners,Pampaga 1732,,,Detail of a carinderia by Jose Lozano. Courtesy of Jose Maria Cariño.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CTRUGI4hRHC/?hl=en
